Symbol,Name,Open,High,Low,Last,Change_per,Volume,Turnover,Date,1D_return_per,3D_return_per,5D_return_per,10D_return_per,1M_return_per,2M_return_per,3M_return_per,6M_return_per,YTD_return_per,52W_Change_Per,1Y High,Liquidity_Tier,52W_Performance,Short_Term_Return,Short_Term_Segment,Long_Term_Return,Long_Term_Segment,Volume_Log,Turnover_Log,Price_Tier,Total_Return_Performance_Trend,cluster,cluster_label
A.US,AGILENT TECHNOLOGIES INC,125.56,127.56,125.165,127.06,2.2,4330000.0,346000000.0,Jun 18,2.2,-2.7,-1.92,-8.17,13.3,5.04,14.0,-7.19,-6.62,9.99,160.27,Highly Liquid,Neutral,0.5420000000000001,Stable,3.044,Stable,15.281078330925528,19.661949335912173,High-Priced,Mixed Trend,4,Active Mid-Cap Stocks
AA.US,ALCOA CORP,61.2,61.78,58.985,59.37,-3.82,6950000.0,314000000.0,Jun 18,-3.82,-7.47,-13.93,-23.9,-5.14,-10.76,-7.57,23.2,11.7,109.42,84.38,Highly Liquid,High Flyer,-10.852,Strong Decline,25.198,Moderate Growth,15.754252361425856,19.56490354705724,High-Priced,Moderate Negative Trend,4,Active Mid-Cap Stocks
AABB.US,ASIA BROADBAND,0.0134,0.0136,0.0127,0.0132,-1.49,6020000.0,77200.0,Jun 18,-1.49,1.54,-6.71,-11.41,-3.86,-5.04,-12.87,-14.12,-14.12,-14.12,0.01775,Highly Liquid,Neutral,-4.386,Moderate Decline,-12.053999999999998,Moderate Decline,15.610597983397946,11.25416768929685,Penny Stock,Strong Negative Trend,4,Active Mid-Cap Stocks
AABVF.US,ABERDEEN INT,0.02,0.02,0.02,0.02,0.0,47500.0,950.0,Jun 18,0.0,0.0,0.0,0.0,0.0,-33.33,-6.98,-33.33,-33.33,-33.33,0.03,Less Liquid,Underperformer,0.0,Stable,-28.06,Moderate Decline,10.768506042432708,6.85751406254539,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
AACAY.US,AAC TECHNOLOGIES HOLDINGS ADR,6.19,6.2,6.16,6.19,2.15,9900.0,61300.0,Jun 18,2.15,6.91,13.0,2.48,14.6,30.0,51.7,51.3,51.3,51.34,6.35,Very Less Liquid,Outperformer,7.828,Moderate Growth,47.128,Moderate Growth,9.200391041122517,11.023551435004949,Mid-Priced,Strong Positive Trend,4,Active Mid-Cap Stocks
AACG.US,ATA CREATIVITY GLOBAL,0.92,1.0791,0.92,1.0791,7.91,35800.0,17900.0,Jun 18,7.91,6.84,13.6,-1.0,-7.77,-0.08,7.92,30.8,36.5,31.6,2.5794,Less Liquid,Outperformer,3.916,Moderate Growth,21.348000000000003,Moderate Growth,10.485731104959568,9.792611856190192,Low-Priced,Moderate Positive Trend,0,Dormant Small-Cap Stocks
AACOU.US,ABONY ACQUISITION I,10.03,10.26,10.01,10.01,-0.1,2150.0,21100.0,Jun 18,-0.1,-0.1,-0.89,-0.2,-0.3,0.35,0.7,0.4,0.4,0.4,11.23,Very Less Liquid,Neutral,-0.318,Stable,0.4499999999999999,Stable,7.67368812926773,9.957075711706056,Mid-Priced,Mixed Trend,0,Dormant Small-Cap Stocks
AADX.US,APPLIED AEROSPACE,20.29,20.65,18.49,18.82,-6.97,1410000.0,22400000.0,Jun 18,-6.97,-4.85,-14.8,1.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,Highly Liquid,Neutral,-5.288,Moderate Decline,-1.0,Stable,14.159100971573958,16.924571561468124,Mid-Priced,Strong Negative Trend,4,Active Mid-Cap Stocks
AAGAF.US,SILVER47 EXPLORATION,0.475,0.475,0.3831,0.39,-10.16,719000.0,288000.0,Jun 18,-10.16,-13.33,-7.5,-14.68,-24.71,-28.18,-20.76,-35.1,-35.1,-35.1,0.6469,Liquid,Underperformer,-14.076,Strong Decline,-30.847999999999995,Strong Decline,13.4856180275228,12.570719231334277,Penny Stock,Strong Negative Trend,4,Active Mid-Cap Stocks
AAGC.US,ALL AMERICAN GOLD,0.00055,0.00055,0.0005,0.0005,0.0,4060000.0,2131.5,Jun 18,0.0,0.0,-16.67,-23.08,-16.67,-33.33,-28.57,-44.44,-44.44,-44.44,0.001,Highly Liquid,Underperformer,-11.284,Strong Decline,-39.044,Strong Decline,15.216693777883304,7.665050279365834,Penny Stock,Strong Negative Trend,4,Active Mid-Cap Stocks
AAGFF.US,AFTERMATH SILVER,0.524,0.539,0.484,0.493,-8.19,641000.0,318000.0,Jun 18,-8.19,-11.44,-6.98,-10.53,-10.36,-22.48,-12.59,-28.24,-28.24,-28.24,0.82,Liquid,Underperformer,-9.5,Moderate Decline,-23.958,Moderate Decline,13.370786295963992,12.669809806411456,Penny Stock,Strong Negative Trend,4,Active Mid-Cap Stocks
AAGH.US,AMERICA GREAT HEALTH,0.0002,0.0002,0.0002,0.0002,0.0,250.0,0.05,Jun 18,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0003,Very Less Liquid,Outperformer,40.0,Strong Growth,100.0,Strong Growth,5.525452939131784,0.048790164169432,Penny Stock,Moderate Positive Trend,3,High Momentum Growth Stocks
